r,T
0, 126.001
0.000977517, 126
0.00195503, 126
0.00293255, 125.999
0.00391007, 125.998
0.00488759, 125.997
0.0058651, 125.996
0.00684262, 125.994
0.00782014, 125.993
0.00879765, 125.991
0.00977517, 125.988
0.0107527, 125.986
0.0117302, 125.983
0.0127077, 125.98
0.0136852, 125.977
0.0146628, 125.973
0.0156403, 125.97
0.0166178, 125.966
0.0175953, 125.962
0.0185728, 125.957
0.0195503, 125.952
0.0205279, 125.948
0.0215054, 125.942
0.0224829, 125.937
0.0234604, 125.931
0.0244379, 125.926
0.0254154, 125.919
0.026393, 125.913
0.0273705, 125.907
0.028348, 125.9
0.0293255, 125.893
0.030303, 125.885
0.0312805, 125.878
0.0322581, 125.87
0.0332356, 125.862
0.0342131, 125.854
0.0351906, 125.845
0.0361681, 125.837
0.0371457, 125.828
0.0381232, 125.819
0.0391007, 125.809
0.0400782, 125.799
0.0410557, 125.789
0.0420332, 125.779
0.0430108, 125.769
0.0439883, 125.758
0.0449658, 125.747
0.0459433, 125.736
0.0469208, 125.725
0.0478983, 125.713
0.0488759, 125.702
0.0498534, 125.69
0.0508309, 125.677
0.0518084, 125.665
0.0527859, 125.652
0.0537634, 125.639
0.054741, 125.626
0.0557185, 125.612
0.056696, 125.598
0.0576735, 125.584
0.058651, 125.57
0.0596285, 125.556
0.0606061, 125.541
0.0615836, 125.526
0.0625611, 125.511
0.0635386, 125.496
0.0645161, 125.48
0.0654936, 125.464
0.0664712, 125.448
0.0674487, 125.431
0.0684262, 125.415
0.0694037, 125.398
0.0703812, 125.381
0.0713587, 125.364
0.0723363, 125.346
0.0733138, 125.328
0.0742913, 125.31
0.0752688, 125.292
0.0762463, 125.273
0.0772239, 125.255
0.0782014, 125.236
0.0791789, 125.216
0.0801564, 125.197
0.0811339, 125.177
0.0821114, 125.157
0.083089, 125.137
0.0840665, 125.117
0.085044, 125.096
0.0860215, 125.075
0.086999, 125.054
0.0879765, 125.033
0.0889541, 125.011
0.0899316, 124.989
0.0909091, 124.967
0.0918866, 124.945
0.0928641, 124.922
0.0938416, 124.899
0.0948192, 124.876
0.0957967, 124.853
0.0967742, 124.829
0.0977517, 124.806
0.0987292, 124.782
0.0997067, 124.757
0.100684, 124.733
0.101662, 124.708
0.102639, 124.683
0.103617, 124.658
0.104594, 124.633
0.105572, 124.607
0.106549, 124.581
0.107527, 124.555
0.108504, 124.528
0.109482, 124.502
0.110459, 124.475
0.111437, 124.448
0.112414, 124.421
0.113392, 124.393
0.11437, 124.365
0.115347, 124.337
0.116325, 124.309
0.117302, 124.28
0.11828, 124.251
0.119257, 124.222
0.120235, 124.193
0.121212, 124.164
0.12219, 124.134
0.123167, 124.104
