r,T
0.242424, 24.5308
0.243402, 24.5189
0.244379, 24.507
0.245357, 24.495
0.246334, 24.483
0.247312, 24.4709
0.248289, 24.4588
0.249267, 24.4467
0.250244, 24.4345
0.251222, 24.4222
0.252199, 24.4099
0.253177, 24.3976
0.254154, 24.3852
0.255132, 24.3727
0.256109, 24.3602
0.257087, 24.3477
0.258065, 24.3351
0.259042, 24.3224
0.26002, 24.3098
0.260997, 24.297
0.261975, 24.2842
0.262952, 24.2714
0.26393, 24.2585
0.264907, 24.2456
0.265885, 24.2326
0.266862, 24.2196
0.26784, 24.2066
0.268817, 24.1934
0.269795, 24.1803
0.270772, 24.1671
0.27175, 24.1538
0.272727, 24.1405
0.273705, 24.1272
0.274682, 24.1138
0.27566, 24.1003
0.276637, 24.0868
0.277615, 24.0733
0.278592, 24.0597
0.27957, 24.046
0.280547, 24.0323
0.281525, 24.0186
0.282502, 24.0048
0.28348, 23.991
0.284457, 23.9771
0.285435, 23.9632
0.286413, 23.9492
0.28739, 23.9352
0.288368, 23.9211
0.289345, 23.907
0.290323, 23.8928
0.2913, 23.8786
0.292278, 23.8644
0.293255, 23.8501
0.294233, 23.8357
0.29521, 23.8213
0.296188, 23.8068
0.297165, 23.7923
0.298143, 23.7778
0.29912, 23.7632
0.300098, 23.7485
0.301075, 23.7339
0.302053, 23.7191
0.30303, 23.7043
0.304008, 23.6895
0.304985, 23.6746
0.305963, 23.6597
0.30694, 23.6447
0.307918, 23.6297
0.308895, 23.6146
0.309873, 23.5995
0.31085, 23.5843
0.311828, 23.5691
0.312805, 23.5538
0.313783, 23.5385
0.314761, 23.5232
0.315738, 23.5078
0.316716, 23.4923
0.317693, 23.4768
0.318671, 23.4612
0.319648, 23.4456
0.320626, 23.43
0.321603, 23.4143
0.322581, 23.3986
0.323558, 23.3828
0.324536, 23.3669
0.325513, 23.351
0.326491, 23.3351
0.327468, 23.3191
0.328446, 23.3031
0.329423, 23.287
0.330401, 23.2709
0.331378, 23.2547
0.332356, 23.2385
0.333333, 23.2222
0.334311, 23.2059
0.335288, 23.1896
0.336266, 23.1731
0.337243, 23.1567
0.338221, 23.1402
0.339198, 23.1236
0.340176, 23.107
0.341153, 23.0904
0.342131, 23.0737
0.343109, 23.0569
0.344086, 23.0401
0.345064, 23.0233
0.346041, 23.0064
0.347019, 22.9895
0.347996, 22.9725
0.348974, 22.9554
0.349951, 22.9384
0.350929, 22.9212
0.351906, 22.9041
0.352884, 22.8868
0.353861, 22.8696
0.354839, 22.8522
0.355816, 22.8349
0.356794, 22.8175
0.357771, 22.8
0.358749, 22.7825
0.359726, 22.7649
0.360704, 22.7473
0.361681, 22.7297
0.362659, 22.712
0.363636, 22.6942
0.364614, 22.6764
0.365591, 22.6586
0.366569, 22.6407
0.367546, 22.6228
0.368524, 22.6048
0.369501, 22.5867
0.370479, 22.5686
