r,T
0, 376.002
0.000977517, 376.001
0.00195503, 376
0.00293255, 375.998
0.00391007, 375.995
0.00488759, 375.992
0.0058651, 375.988
0.00684262, 375.983
0.00782014, 375.978
0.00879765, 375.972
0.00977517, 375.965
0.0107527, 375.957
0.0117302, 375.949
0.0127077, 375.94
0.0136852, 375.931
0.0146628, 375.92
0.0156403, 375.909
0.0166178, 375.897
0.0175953, 375.885
0.0185728, 375.871
0.0195503, 375.857
0.0205279, 375.843
0.0215054, 375.827
0.0224829, 375.811
0.0234604, 375.794
0.0244379, 375.777
0.0254154, 375.758
0.026393, 375.739
0.0273705, 375.72
0.028348, 375.699
0.0293255, 375.678
0.030303, 375.656
0.0312805, 375.634
0.0322581, 375.61
0.0332356, 375.586
0.0342131, 375.562
0.0351906, 375.536
0.0361681, 375.51
0.0371457, 375.483
0.0381232, 375.456
0.0391007, 375.427
0.0400782, 375.398
0.0410557, 375.368
0.0420332, 375.338
0.0430108, 375.307
0.0439883, 375.275
0.0449658, 375.242
0.0459433, 375.209
0.0469208, 375.175
0.0478983, 375.14
0.0488759, 375.105
0.0498534, 375.069
0.0508309, 375.032
0.0518084, 374.994
0.0527859, 374.956
0.0537634, 374.917
0.054741, 374.877
0.0557185, 374.836
0.056696, 374.795
0.0576735, 374.753
0.058651, 374.711
0.0596285, 374.667
0.0606061, 374.623
0.0615836, 374.578
0.0625611, 374.533
0.0635386, 374.487
0.0645161, 374.44
0.0654936, 374.392
0.0664712, 374.344
0.0674487, 374.294
0.0684262, 374.245
0.0694037, 374.194
0.0703812, 374.143
0.0713587, 374.091
0.0723363, 374.038
0.0733138, 373.985
0.0742913, 373.931
0.0752688, 373.876
0.0762463, 373.82
0.0772239, 373.764
0.0782014, 373.707
0.0791789, 373.649
0.0801564, 373.591
0.0811339, 373.532
0.0821114, 373.472
0.083089, 373.412
0.0840665, 373.35
0.085044, 373.288
0.0860215, 373.226
0.086999, 373.162
0.0879765, 373.098
0.0889541, 373.033
0.0899316, 372.968
0.0909091, 372.901
0.0918866, 372.834
0.0928641, 372.767
0.0938416, 372.698
0.0948192, 372.629
0.0957967, 372.559
0.0967742, 372.488
0.0977517, 372.417
0.0987292, 372.345
0.0997067, 372.272
0.100684, 372.199
0.101662, 372.125
0.102639, 372.05
0.103617, 371.974
0.104594, 371.898
0.105572, 371.821
0.106549, 371.743
0.107527, 371.665
0.108504, 371.585
0.109482, 371.506
0.110459, 371.425
0.111437, 371.344
0.112414, 371.262
0.113392, 371.179
0.11437, 371.095
0.115347, 371.011
0.116325, 370.926
0.117302, 370.84
0.11828, 370.754
0.119257, 370.667
0.120235, 370.579
0.121212, 370.491
0.12219, 370.402
0.123167, 370.312
0.124145, 370.221
0.125122, 370.13
0.1261, 370.037
0.127077, 369.945
0.128055, 369.851
0.129032, 369.757
0.13001, 369.662
0.130987, 369.566
0.131965, 369.47
0.132942, 369.373
0.13392, 369.275
0.134897, 369.176
0.135875, 369.077
0.136852, 368.977
0.13783, 368.876
0.138807, 368.775
0.139785, 368.673
0.140762, 368.57
0.14174, 368.467
0.142717, 368.362
0.143695, 368.257
0.144673, 368.152
0.14565, 368.045
0.146628, 367.938
0.147605, 367.83
0.148583, 367.722
0.14956, 367.612
0.150538, 367.502
0.151515, 367.392
0.152493, 367.28
0.15347, 367.168
0.154448, 367.055
0.155425, 366.941
0.156403, 366.827
0.15738, 366.712
0.158358, 366.596
0.159335, 366.48
0.160313, 366.363
0.16129, 366.245
0.162268, 366.126
0.163245, 366.007
0.164223, 365.887
0.1652, 365.766
0.166178, 365.645
0.167155, 365.522
0.168133, 365.4
0.16911, 365.276
0.170088, 365.152
0.171065, 365.027
0.172043, 364.901
0.173021, 364.774
0.173998, 364.647
0.174976, 364.519
0.175953, 364.391
0.176931, 364.261
0.177908, 364.131
0.178886, 364
0.179863, 363.869
0.180841, 363.737
0.181818, 363.604
0.182796, 363.47
0.183773, 363.336
0.184751, 363.2
0.185728, 363.065
0.186706, 362.928
0.187683, 362.791
0.188661, 362.653
0.189638, 362.514
0.190616, 362.375
0.191593, 362.235
0.192571, 362.094
0.193548, 361.952
0.194526, 361.81
0.195503, 361.667
0.196481, 361.524
0.197458, 361.379
0.198436, 361.234
0.199413, 361.088
0.200391, 360.942
0.201369, 360.794
0.202346, 360.646
0.203324, 360.498
0.204301, 360.348
0.205279, 360.198
0.206256, 360.047
0.207234, 359.896
0.208211, 359.743
0.209189, 359.59
0.210166, 359.437
0.211144, 359.282
0.212121, 359.127
0.213099, 358.971
0.214076, 358.815
0.215054, 358.657
0.216031, 358.499
0.217009, 358.34
0.217986, 358.181
0.218964, 358.021
0.219941, 357.86
0.220919, 357.698
0.221896, 357.536
0.222874, 357.373
0.223851, 357.209
0.224829, 357.045
0.225806, 356.88
0.226784, 356.714
0.227761, 356.547
0.228739, 356.38
0.229717, 356.212
0.230694, 356.043
0.231672, 355.873
0.232649, 355.703
0.233627, 355.532
0.234604, 355.361
0.235582, 355.188
0.236559, 355.015
0.237537, 354.841
0.238514, 354.667
0.239492, 354.492
0.240469, 354.316
0.241447, 354.139
0.242424, 353.962
0.243402, 353.784
0.244379, 353.605
0.245357, 353.425
0.246334, 353.245
0.247312, 353.064
0.248289, 352.882
0.249267, 352.7
0.250244, 352.517
0.251222, 352.333
0.252199, 352.149
0.253177, 351.963
0.254154, 351.777
0.255132, 351.591
0.256109, 351.403
0.257087, 351.215
0.258065, 351.026
0.259042, 350.837
0.26002, 350.646
0.260997, 350.455
0.261975, 350.264
0.262952, 350.071
0.26393, 349.878
0.264907, 349.684
0.265885, 349.49
0.266862, 349.294
0.26784, 349.098
0.268817, 348.902
0.269795, 348.704
0.270772, 348.506
0.27175, 348.307
0.272727, 348.108
0.273705, 347.907
0.274682, 347.706
0.27566, 347.505
0.276637, 347.302
0.277615, 347.099
0.278592, 346.895
0.27957, 346.69
0.280547, 346.485
0.281525, 346.279
0.282502, 346.072
0.28348, 345.865
0.284457, 345.657
0.285435, 345.448
0.286413, 345.238
0.28739, 345.028
0.288368, 344.817
0.289345, 344.605
0.290323, 344.393
