r,T
0, 251.001
0.000977517, 251.001
0.00195503, 251
0.00293255, 250.999
0.00391007, 250.997
0.00488759, 250.995
0.0058651, 250.992
0.00684262, 250.989
0.00782014, 250.985
0.00879765, 250.981
0.00977517, 250.977
0.0107527, 250.972
0.0117302, 250.966
0.0127077, 250.96
0.0136852, 250.954
0.0146628, 250.947
0.0156403, 250.939
0.0166178, 250.931
0.0175953, 250.923
0.0185728, 250.914
0.0195503, 250.905
0.0205279, 250.895
0.0215054, 250.885
0.0224829, 250.874
0.0234604, 250.863
0.0244379, 250.851
0.0254154, 250.839
0.026393, 250.826
0.0273705, 250.813
0.028348, 250.8
0.0293255, 250.785
0.030303, 250.771
0.0312805, 250.756
0.0322581, 250.74
0.0332356, 250.724
0.0342131, 250.708
0.0351906, 250.691
0.0361681, 250.673
0.0371457, 250.655
0.0381232, 250.637
0.0391007, 250.618
0.0400782, 250.599
0.0410557, 250.579
0.0420332, 250.559
0.0430108, 250.538
0.0439883, 250.517
0.0449658, 250.495
0.0459433, 250.473
0.0469208, 250.45
0.0478983, 250.427
0.0488759, 250.403
0.0498534, 250.379
0.0508309, 250.354
0.0518084, 250.329
0.0527859, 250.304
0.0537634, 250.278
0.054741, 250.251
0.0557185, 250.224
0.056696, 250.197
0.0576735, 250.169
0.058651, 250.14
0.0596285, 250.111
0.0606061, 250.082
0.0615836, 250.052
0.0625611, 250.022
0.0635386, 249.991
0.0645161, 249.96
0.0654936, 249.928
0.0664712, 249.896
0.0674487, 249.863
0.0684262, 249.83
0.0694037, 249.796
0.0703812, 249.762
0.0713587, 249.727
0.0723363, 249.692
0.0733138, 249.657
0.0742913, 249.621
0.0752688, 249.584
0.0762463, 249.547
0.0772239, 249.509
0.0782014, 249.471
0.0791789, 249.433
0.0801564, 249.394
0.0811339, 249.355
0.0821114, 249.315
0.083089, 249.274
0.0840665, 249.234
0.085044, 249.192
0.0860215, 249.15
0.086999, 249.108
0.0879765, 249.065
0.0889541, 249.022
0.0899316, 248.978
0.0909091, 248.934
0.0918866, 248.889
0.0928641, 248.844
0.0938416, 248.799
0.0948192, 248.753
0.0957967, 248.706
0.0967742, 248.659
0.0977517, 248.611
0.0987292, 248.563
0.0997067, 248.515
0.100684, 248.466
0.101662, 248.416
0.102639, 248.367
0.103617, 248.316
0.104594, 248.265
0.105572, 248.214
0.106549, 248.162
0.107527, 248.11
0.108504, 248.057
0.109482, 248.004
0.110459, 247.95
0.111437, 247.896
0.112414, 247.841
0.113392, 247.786
0.11437, 247.73
0.115347, 247.674
0.116325, 247.617
0.117302, 247.56
0.11828, 247.503
0.119257, 247.445
0.120235, 247.386
0.121212, 247.327
0.12219, 247.268
0.123167, 247.208
0.124145, 247.147
0.125122, 247.086
0.1261, 247.025
0.127077, 246.963
0.128055, 246.901
0.129032, 246.838
0.13001, 246.775
0.130987, 246.711
0.131965, 246.647
0.132942, 246.582
0.13392, 246.517
0.134897, 246.451
0.135875, 246.385
0.136852, 246.318
0.13783, 246.251
0.138807, 246.183
0.139785, 246.115
0.140762, 246.047
0.14174, 245.978
0.142717, 245.908
0.143695, 245.838
0.144673, 245.768
0.14565, 245.697
0.146628, 245.625
0.147605, 245.553
0.148583, 245.481
0.14956, 245.408
0.150538, 245.335
0.151515, 245.261
0.152493, 245.187
0.15347, 245.112
0.154448, 245.037
0.155425, 244.961
0.156403, 244.885
0.15738, 244.808
0.158358, 244.731
0.159335, 244.653
0.160313, 244.575
0.16129, 244.497
0.162268, 244.418
0.163245, 244.338
0.164223, 244.258
0.1652, 244.177
0.166178, 244.096
0.167155, 244.015
0.168133, 243.933
0.16911, 243.851
0.170088, 243.768
0.171065, 243.684
0.172043, 243.601
0.173021, 243.516
0.173998, 243.431
0.174976, 243.346
0.175953, 243.26
0.176931, 243.174
0.177908, 243.087
0.178886, 243
0.179863, 242.913
0.180841, 242.824
0.181818, 242.736
0.182796, 242.647
0.183773, 242.557
0.184751, 242.467
0.185728, 242.376
0.186706, 242.285
0.187683, 242.194
0.188661, 242.102
0.189638, 242.01
0.190616, 241.917
0.191593, 241.823
0.192571, 241.729
0.193548, 241.635
0.194526, 241.54
0.195503, 241.445
0.196481, 241.349
0.197458, 241.253
0.198436, 241.156
0.199413, 241.059
0.200391, 240.961
0.201369, 240.863
0.202346, 240.764
0.203324, 240.665
0.204301, 240.565
0.205279, 240.465
0.206256, 240.365
0.207234, 240.264
0.208211, 240.162
0.209189, 240.06
0.210166, 239.958
0.211144, 239.855
0.212121, 239.751
0.213099, 239.647
0.214076, 239.543
0.215054, 239.438
0.216031, 239.333
0.217009, 239.227
0.217986, 239.121
0.218964, 239.014
0.219941, 238.907
0.220919, 238.799
0.221896, 238.691
0.222874, 238.582
0.223851, 238.473
0.224829, 238.363
0.225806, 238.253
0.226784, 238.142
0.227761, 238.031
0.228739, 237.92
0.229717, 237.808
0.230694, 237.695
0.231672, 237.582
0.232649, 237.469
0.233627, 237.355
0.234604, 237.24
0.235582, 237.125
0.236559, 237.01
0.237537, 236.894
0.238514, 236.778
0.239492, 236.661
0.240469, 236.544
0.241447, 236.426
0.242424, 236.308
0.243402, 236.189
0.244379, 236.07
0.245357, 235.95
0.246334, 235.83
0.247312, 235.709
0.248289, 235.588
0.249267, 235.467
0.250244, 235.345
0.251222, 235.222
0.252199, 235.099
0.253177, 234.976
0.254154, 234.852
0.255132, 234.727
0.256109, 234.602
0.257087, 234.477
0.258065, 234.351
0.259042, 234.224
0.26002, 234.098
0.260997, 233.97
0.261975, 233.842
0.262952, 233.714
0.26393, 233.585
0.264907, 233.456
0.265885, 233.326
0.266862, 233.196
0.26784, 233.066
0.268817, 232.934
0.269795, 232.803
0.270772, 232.671
0.27175, 232.538
0.272727, 232.405
0.273705, 232.272
0.274682, 232.138
0.27566, 232.003
0.276637, 231.868
0.277615, 231.733
0.278592, 231.597
0.27957, 231.46
0.280547, 231.323
0.281525, 231.186
0.282502, 231.048
0.28348, 230.91
0.284457, 230.771
0.285435, 230.632
0.286413, 230.492
0.28739, 230.352
0.288368, 230.211
0.289345, 230.07
0.290323, 229.928
0.2913, 229.786
0.292278, 229.644
0.293255, 229.501
0.294233, 229.357
0.29521, 229.213
0.296188, 229.068
0.297165, 228.923
0.298143, 228.778
0.29912, 228.632
0.300098, 228.485
0.301075, 228.339
0.302053, 228.191
0.30303, 228.043
0.304008, 227.895
0.304985, 227.746
0.305963, 227.597
0.30694, 227.447
0.307918, 227.297
0.308895, 227.146
0.309873, 226.995
0.31085, 226.843
0.311828, 226.691
0.312805, 226.538
0.313783, 226.385
0.314761, 226.232
0.315738, 226.078
0.316716, 225.923
0.317693, 225.768
0.318671, 225.612
0.319648, 225.456
0.320626, 225.3
0.321603, 225.143
0.322581, 224.986
0.323558, 224.828
0.324536, 224.669
0.325513, 224.51
0.326491, 224.351
0.327468, 224.191
0.328446, 224.031
0.329423, 223.87
0.330401, 223.709
0.331378, 223.547
0.332356, 223.385
0.333333, 223.222
0.334311, 223.059
